checked_at,origin,dest,option,hub,price_rub,price_eur,eur_rate,depart_month,detail,link1,link2
2026-07-08 09:16,LED,VCE,Любой маршрут (мин.),,19055,219,86.8976,2026-09,вылет 2026-09-27 · 2 перес. · 20 ч 5 мин · a/к VF,,
2026-07-08 09:16,LED,VCE,Через Ереван,EVN,20002,230,86.8976,2026-09,Ереван: 13 585 ₽ + 6 417 ₽,,
2026-07-08 09:16,LED,VCE,Через Турцию,IST,19916,229,86.8976,2026-09,Стамбул IST: 13 791 ₽ + 6 125 ₽,,
2026-07-08 09:16,LED,VCE,Через Белград,BEG,24139,278,86.8976,2026-09,Белград: 18 450 ₽ + 5 689 ₽,,
2026-07-08 09:16,LED,TSF,Любой маршрут (мин.),,23438,270,86.8976,2026-09,вылет 2026-09-09 · 2 перес. · 42 ч 25 мин · a/к PC,,
2026-07-08 09:16,LED,TSF,Через Ереван,EVN,20002,230,86.8976,2026-09,Ереван: 13 585 ₽ + 6 417 ₽,,
2026-07-08 09:16,LED,TSF,Через Турцию,IST,20379,235,86.8976,2026-09,Стамбул IST: 13 791 ₽ + 6 588 ₽,,
2026-07-08 09:16,LED,TSF,Через Белград,BEG,24139,278,86.8976,2026-09,Белград: 18 450 ₽ + 5 689 ₽,,
2026-07-08 20:40,MOW,VCE,Любой маршрут (мин.),,17167,197,87.3511,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-08 20:40,MOW,VCE,Через Ереван,EVN,15420,177,87.3511,2026-09,Ереван: 9 339 ₽ + 6 081 ₽,,
2026-07-08 20:40,MOW,VCE,Через Турцию,IST,14717,168,87.3511,2026-09,Стамбул IST: 9 306 ₽ + 5 411 ₽,,
2026-07-08 20:40,MOW,VCE,Через Белград,BEG,26602,305,87.3511,2026-09,Белград: 20 913 ₽ + 5 689 ₽,,
2026-07-08 20:40,MOW,TSF,Любой маршрут (мин.),,17167,197,87.3511,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-08 20:40,MOW,TSF,Через Ереван,EVN,15420,177,87.3511,2026-09,Ереван: 9 339 ₽ + 6 081 ₽,,
2026-07-08 20:40,MOW,TSF,Через Турцию,IST,15605,179,87.3511,2026-09,Стамбул IST: 9 306 ₽ + 6 299 ₽,,
2026-07-08 20:40,MOW,TSF,Через Белград,BEG,26602,305,87.3511,2026-09,Белград: 20 913 ₽ + 5 689 ₽,,
2026-07-08 20:40,LED,VCE,Любой маршрут (мин.),,17857,204,87.3511,2026-09,вылет 2026-09-27 · 2 перес. · 20 ч 5 мин · a/к VF,,
2026-07-08 20:40,LED,VCE,Через Ереван,EVN,19508,223,87.3511,2026-09,Ереван: 13 427 ₽ + 6 081 ₽,,
2026-07-08 20:40,LED,VCE,Через Турцию,IST,18989,217,87.3511,2026-09,Стамбул IST: 13 578 ₽ + 5 411 ₽,,
2026-07-08 20:40,LED,VCE,Через Белград,BEG,24474,280,87.3511,2026-09,Белград: 18 785 ₽ + 5 689 ₽,,
2026-07-08 20:40,LED,TSF,Любой маршрут (мин.),,23451,268,87.3511,2026-09,вылет 2026-09-09 · 2 перес. · 18 ч 25 мин · a/к PC,,
2026-07-08 20:40,LED,TSF,Через Ереван,EVN,19508,223,87.3511,2026-09,Ереван: 13 427 ₽ + 6 081 ₽,,
2026-07-08 20:40,LED,TSF,Через Турцию,IST,19877,228,87.3511,2026-09,Стамбул IST: 13 578 ₽ + 6 299 ₽,,
2026-07-08 20:40,LED,TSF,Через Белград,BEG,24474,280,87.3511,2026-09,Белград: 18 785 ₽ + 5 689 ₽,,
2026-07-09 11:29,MOW,VCE,Любой маршрут (мин.),,17696,203,87.3511,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-09 11:29,MOW,VCE,Через Ереван,EVN,15359,176,87.3511,2026-09,Ереван: 9 279 ₽ + 6 080 ₽,,
2026-07-09 11:29,MOW,VCE,Через Турцию,IST,14475,166,87.3511,2026-09,Стамбул IST: 9 064 ₽ + 5 411 ₽,,
2026-07-09 11:29,MOW,VCE,Через Белград,BEG,26079,299,87.3511,2026-09,Белград: 20 390 ₽ + 5 689 ₽,,
2026-07-09 11:29,MOW,TSF,Любой маршрут (мин.),,17696,203,87.3511,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-09 11:29,MOW,TSF,Через Ереван,EVN,15359,176,87.3511,2026-09,Ереван: 9 279 ₽ + 6 080 ₽,,
2026-07-09 11:29,MOW,TSF,Через Турцию,IST,15363,176,87.3511,2026-09,Стамбул IST: 9 064 ₽ + 6 299 ₽,,
2026-07-09 11:29,MOW,TSF,Через Белград,BEG,26079,299,87.3511,2026-09,Белград: 20 390 ₽ + 5 689 ₽,,
2026-07-09 11:29,LED,VCE,Любой маршрут (мин.),,16704,191,87.3511,2026-09,вылет 2026-09-26 · 2 перес. · 18 ч 45 мин · a/к VF,,
2026-07-09 11:29,LED,VCE,Через Ереван,EVN,19194,220,87.3511,2026-09,Ереван: 13 114 ₽ + 6 080 ₽,,
2026-07-09 11:29,LED,VCE,Через Турцию,IST,18166,208,87.3511,2026-09,Стамбул IST: 12 755 ₽ + 5 411 ₽,,
2026-07-09 11:29,LED,VCE,Через Белград,BEG,23735,272,87.3511,2026-09,Белград: 18 046 ₽ + 5 689 ₽,,
2026-07-09 11:29,LED,TSF,Любой маршрут (мин.),,23449,268,87.3511,2026-09,вылет 2026-09-09 · 2 перес. · 18 ч 25 мин · a/к PC,,
2026-07-09 11:29,LED,TSF,Через Ереван,EVN,19194,220,87.3511,2026-09,Ереван: 13 114 ₽ + 6 080 ₽,,
2026-07-09 11:29,LED,TSF,Через Турцию,IST,19054,218,87.3511,2026-09,Стамбул IST: 12 755 ₽ + 6 299 ₽,,
2026-07-09 11:29,LED,TSF,Через Белград,BEG,23735,272,87.3511,2026-09,Белград: 18 046 ₽ + 5 689 ₽,,
