checked_at,origin,dest,option,hub,price_rub,price_eur,eur_rate,depart_month,detail,link1,link2
2026-07-03 20:21,MOW,TSF,Через Ереван,EVN,15715,179,88.0304,2026-09,Ереван: 9 387 ₽ + 6 328 ₽,,
2026-07-03 20:21,MOW,TSF,Через Турцию,IST,18792,213,88.0304,2026-09,Стамбул IST: 11 108 ₽ + 7 684 ₽,,
2026-07-03 20:21,MOW,TSF,Через Белград,BEG,27646,314,88.0304,2026-09,Белград: 21 957 ₽ + 5 689 ₽,,
2026-07-03 20:21,LED,VCE,Любой маршрут (мин.),,22675,258,88.0304,2026-09,вылет 2026-09-29 · 2 перес. · 37 ч 20 мин · a/к VF,,
2026-07-03 20:21,LED,VCE,Через Ереван,EVN,18888,215,88.0304,2026-09,Ереван: 12 560 ₽ + 6 328 ₽,,
2026-07-03 20:21,LED,VCE,Через Турцию,IST,20481,233,88.0304,2026-09,Стамбул IST: 14 446 ₽ + 6 035 ₽,,
2026-07-03 20:21,LED,VCE,Через Белград,BEG,30537,347,88.0304,2026-09,Белград: 24 848 ₽ + 5 689 ₽,,
2026-07-03 20:21,LED,TSF,Любой маршрут (мин.),,23543,267,88.0304,2026-09,вылет 2026-09-27 · 2 перес. · 36 ч 50 мин · a/к PC,,
2026-07-03 20:21,LED,TSF,Через Ереван,EVN,18888,215,88.0304,2026-09,Ереван: 12 560 ₽ + 6 328 ₽,,
2026-07-03 20:21,LED,TSF,Через Турцию,IST,22130,251,88.0304,2026-09,Стамбул IST: 14 446 ₽ + 7 684 ₽,,
2026-07-03 20:21,LED,TSF,Через Белград,BEG,30537,347,88.0304,2026-09,Белград: 24 848 ₽ + 5 689 ₽,,
2026-07-04 09:09,MOW,VCE,Любой маршрут (мин.),,18107,206,88.0304,2026-09,вылет 2026-09-29 · 2 перес. · 25 ч 40 мин · a/к 3F,,
2026-07-04 09:09,MOW,VCE,Через Ереван,EVN,15716,179,88.0304,2026-09,Ереван: 9 387 ₽ + 6 329 ₽,,
2026-07-04 09:09,MOW,VCE,Через Турцию,IST,16952,193,88.0304,2026-09,Стамбул IST: 11 045 ₽ + 5 907 ₽,,
2026-07-04 09:09,MOW,VCE,Через Белград,BEG,26829,305,88.0304,2026-09,Белград: 21 140 ₽ + 5 689 ₽,,
2026-07-04 09:09,MOW,TSF,Любой маршрут (мин.),,18737,213,88.0304,2026-09,вылет 2026-09-30 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-04 09:09,MOW,TSF,Через Ереван,EVN,15716,179,88.0304,2026-09,Ереван: 9 387 ₽ + 6 329 ₽,,
2026-07-04 09:09,MOW,TSF,Через Турцию,IST,18352,208,88.0304,2026-09,Стамбул IST: 11 045 ₽ + 7 307 ₽,,
2026-07-04 09:09,MOW,TSF,Через Белград,BEG,26829,305,88.0304,2026-09,Белград: 21 140 ₽ + 5 689 ₽,,
2026-07-04 09:09,LED,VCE,Любой маршрут (мин.),,23369,265,88.0304,2026-09,вылет 2026-09-27 · 2 перес. · 34 ч 5 мин · a/к PC,,
2026-07-04 09:09,LED,VCE,Через Ереван,EVN,18830,214,88.0304,2026-09,Ереван: 12 501 ₽ + 6 329 ₽,,
2026-07-04 09:09,LED,VCE,Через Турцию,IST,20237,230,88.0304,2026-09,Стамбул IST: 14 330 ₽ + 5 907 ₽,,
